model,seed,f1_macro,auc,f1_0,f1_1,prec_1,rec_1
LR,42,0.7934880084619098,0.8755548374454376,0.8505880982881099,0.7363879186357098,0.6777609682299546,0.8061178587494376
LR,123,0.7894462476215748,0.8660577312594233,0.8524683942566215,0.7264241009865281,0.6874121662316803,0.7701304543409807
LR,777,0.8024638124284398,0.8856165939168182,0.8601507219697405,0.7447769028871392,0.6983658200433156,0.797795771479982
RF,42,0.922008181536301,0.9822833045290277,0.9501174670818991,0.893898895990703,0.924741524404905,0.865047233468286
RF,123,0.9231774413736537,0.980469452254766,0.9514077617132297,0.8949471210340776,0.937007874015748,0.8565002249212775
RF,777,0.9215497012084167,0.9806373816566509,0.9503723433168452,0.8927270590999883,0.9345633456334563,0.8544759334233019
SSL_RF,42,0.9103280186450435,0.9709090619903815,0.939701024578691,0.8809550127113961,0.8661160617257118,0.8963112910481331
SSL_RF,123,0.91493321507466,0.9708160772171125,0.9431012340164163,0.8867651961329036,0.8763452668570173,0.8974358974358975
SSL_RF,777,0.9138455763462717,0.9677575173844571,0.9418102238931597,0.8858809287993837,0.8672699849170438,0.9053081421502475
